id,input_tokens,feat_1,feat_2,feat_3,priority,output
1359,T_03 T_24 T_18 T_21,0.183,35.85,0.151,4,1-8-4
1360,T_29 T_03 T_08 T_24 T_05,-0.015,14.06,1.852,3,0-8-4
1361,T_27 T_33 T_24 T_03,0.579,32.57,9.931,4,1-7-1
1362,T_24 T_34 T_03 T_37,0.12,3.05,6.655,1,0-7-4
1363,T_21 T_03 T_32 T_24 T_05,-0.973,2.08,3.534,1,0-7-1
1364,T_01 T_24 T_03 T_12,1.197,39.55,0.619,1,0-7-4
1365,T_26 T_03 T_31 T_22,-0.159,94.1,0.045,5,0-5-3
1366,T_18 T_31 T_03 T_21,-0.027,87.14,3.586,2,0-8-4
1367,T_11 T_31 T_03 T_08 T_33,-0.933,51.14,0.115,1,0-7-1
1368,T_31 T_01 T_35 T_03,-0.443,56.52,0.46,3,1-5-4
1369,T_03 T_08 T_34 T_14 T_31,-0.885,0.59,1.573,2,1-5-4
1370,T_03 T_31 T_32 T_13 T_14,-0.173,21.55,0.393,2,1-5-1
1371,T_31 T_13 T_12 T_03,1.712,2.48,3.589,5,1-7-4
1372,T_00 T_37 T_03 T_31 T_14,-1.372,75.45,3.003,4,1-5-4
1373,T_03 T_22 T_18 T_26,-1.614,14.56,2.819,2,0-8-2
1374,T_17 T_03 T_26 T_11,1.471,86.9,3.387,2,0-7-4
1375,T_03 T_22 T_29 T_37 T_26,-0.209,64.33,0.496,1,1-8-2
1376,T_35 T_03 T_14 T_26,-0.669,22.94,2.61,3,1-4-2
1377,T_27 T_01 T_03 T_26,1.04,15.77,0.878,1,0-5-4
1378,T_37 T_26 T_03 T_34,-0.606,62.76,2.198,3,1-4-2
1379,T_32 T_03 T_22 T_13 T_26,1.826,90.08,0.26,2,1-4-4
1380,T_12 T_13 T_17 T_26 T_03,0.678,71.84,2.446,3,1-7-2
1381,T_11 T_03 T_08 T_18,-0.488,34.85,7.159,1,0-8-0
1382,T_29 T_37 T_18 T_03 T_13,2.157,58.74,0.089,1,1-8-3
1383,T_18 T_01 T_03 T_27 T_14,-0.606,31.08,0.197,4,0-8-0
1384,T_12 T_01 T_18 T_03,0.742,99.91,0.264,5,1-8-3
1385,T_03 T_08 T_18 T_00,0.299,74.88,1.126,4,1-8-3
1386,T_11 T_14 T_01 T_03 T_29,1.302,61.44,0.687,2,1-8-0
1387,T_03 T_27 T_11 T_14,1.562,42.33,3.289,3,0-7-2
1388,T_11 T_01 T_34 T_03 T_22,0.032,61.82,1.284,1,1-7-0
1389,T_32 T_14 T_11 T_03 T_05,-0.753,34.16,1.325,1,1-7-2
1390,T_03 T_00 T_11 T_08 T_05,0.46,2.89,2.525,1,1-7-0
1391,T_22 T_03 T_35 T_17 T_29,-0.678,39.51,0.899,1,0-8-3
1392,T_05 T_03 T_08 T_34 T_29,2.013,93.05,0.871,2,0-8-3
1393,T_08 T_37 T_29 T_12 T_03,0.137,62.63,2.829,5,0-8-3
1394,T_29 T_03 T_00 T_01 T_14,-0.365,8.4,3.029,4,0-8-3
1395,T_27 T_03 T_08 T_35,0.185,88.5,0.029,4,1-5-0
1396,T_03 T_35 T_33 T_34,-1.347,26.89,0.31,1,0-3-3
1397,T_03 T_33 T_14 T_35 T_32,-0.972,24.38,0.479,1,0-3-0
1398,T_03 T_22 T_35 T_12,1.2,29.71,0.866,3,0-7-3
1399,T_35 T_22 T_00 T_03,-0.657,57.72,0.689,1,0-3-3
1400,T_27 T_03 T_17 T_34,-1.047,54.47,2.208,4,1-5-0
1401,T_32 T_27 T_37 T_03,0.537,49.14,3.522,3,1-5-2
1402,T_37 T_03 T_27 T_12,1.186,71.75,0.427,3,1-7-0
1403,T_37 T_03 T_32 T_34,0.719,31.65,1.656,1,0-3-0
1404,T_13 T_34 T_03 T_12,0.996,78.21,0.917,3,0-7-3
1405,T_00 T_05 T_03 T_34,-0.757,17.53,1.41,5,0-3-3
1406,T_03 T_12 T_32 T_17,-1.422,78.26,1.939,1,0-7-0
1407,T_21 T_08 T_32 T_00 T_03,1.501,66.38,4.481,5,0-3-0
1408,T_12 T_03 T_17 T_00,-0.323,68.32,0.427,1,0-7-3
1409,T_01 T_17 T_38 T_02 T_10,-0.251,48.16,0.182,5,0-8-0
1410,T_10 T_38 T_15 T_08,1.328,66.7,1.973,1,0-8-1
1411,T_10 T_01 T_38 T_28 T_14,0.556,7.98,1.002,4,1-8-2
1412,T_06 T_01 T_38 T_10,0.456,85.16,0.356,1,0-8-2
1413,T_05 T_25 T_10 T_38,2.165,5.55,0.249,4,1-8-4
1414,T_37 T_38 T_10 T_20,-0.644,14.87,1.637,2,0-9-1
1415,T_05 T_38 T_07 T_10,0.928,57.68,0.715,2,1-8-4
1416,T_13 T_09 T_37 T_38 T_10,0.057,73.94,11.925,1,1-8-4
1417,T_38 T_10 T_17 T_23,0.269,7.63,1.041,4,1-8-2
1418,T_10 T_22 T_38 T_24,1.528,92.08,0.477,4,0-8-1
1419,T_31 T_13 T_10 T_38,0.508,97.36,1.982,3,1-8-1
1420,T_18 T_22 T_10 T_38 T_08,0.538,60.6,0.56,3,1-8-0
1421,T_38 T_37 T_29 T_10 T_05,1.073,48.12,1.363,5,0-8-0
1422,T_08 T_38 T_14 T_35 T_10,-0.365,74.14,1.318,3,0-8-0
1423,T_14 T_38 T_10 T_27,-0.839,32.84,1.209,1,1-8-2
1424,T_10 T_38 T_34 T_21 T_01,-1.045,49.33,3.18,3,0-8-0
1425,T_38 T_10 T_32 T_21,-1.966,91.62,0.488,3,0-8-2
1426,T_10 T_37 T_12 T_01 T_38,2.056,95.57,4.693,1,0-8-0
1427,T_13 T_00 T_17 T_10 T_38,-1.103,92.71,3.134,1,0-8-0
1428,T_21 T_02 T_22 T_38 T_30,-0.221,26.24,0.81,5,1-8-4
1429,T_13 T_28 T_01 T_38 T_02,-0.277,23.25,0.398,4,1-8-0
1430,T_38 T_16 T_02 T_14 T_01,0.307,29.77,0.656,3,1-8-4
1431,T_06 T_02 T_38 T_01,0.816,44.13,0.809,2,0-8-0
1432,T_02 T_38 T_25 T_01,0.86,31.42,1.628,4,1-8-2
1433,T_21 T_02 T_20 T_38,-0.583,37.42,0.095,1,0-9-4
1434,T_02 T_08 T_07 T_38 T_01,-0.167,62.06,4.915,3,1-8-2
1435,T_02 T_23 T_01 T_38,0.283,76.25,0.208,5,1-8-0
1436,T_24 T_38 T_02 T_33,-0.249,73.56,0.655,2,0-8-4
1437,T_31 T_02 T_38 T_21 T_37,1.607,81.44,0.231,4,1-8-4
1438,T_26 T_02 T_21 T_05 T_38,0.491,3.22,0.593,3,1-8-2
1439,T_38 T_02 T_29 T_33 T_37,0.735,4.77,3.636,1,0-8-3
1440,T_22 T_02 T_08 T_35 T_38,0.663,78.94,1.91,4,0-8-3
1441,T_27 T_02 T_33 T_38,1.173,53.31,0.516,2,1-8-0
1442,T_14 T_02 T_34 T_38,0.181,57.81,4.108,1,0-8-3
1443,T_37 T_38 T_02 T_32,-1.297,5.26,3.226,2,0-8-0
1444,T_17 T_05 T_12 T_38 T_02,0.4,25.53,2.802,3,0-8-3
1445,T_00 T_38 T_02 T_33,-0.651,63.84,3.763,4,0-8-3
1446,T_17 T_30 T_15 T_38 T_08,-0.529,85.92,1.933,5,1-8-0
1447,T_38 T_33 T_15 T_28,0.586,91.7,1.392,3,1-8-1
1448,T_15 T_16 T_17 T_37 T_38,1.238,50.04,0.937,3,1-8-0
1449,T_38 T_06 T_15 T_33 T_21,0.021,54.55,0.507,5,0-8-1
1450,T_38 T_22 T_15 T_01 T_25,0.309,83.3,1.63,5,1-8-3
1451,T_38 T_15 T_14 T_20,1.702,53.76,4.405,1,0-9-0
1452,T_14 T_07 T_15 T_38,0.241,51.69,1.803,2,1-8-3
1453,T_38 T_08 T_15 T_09,2.602,90.51,5.042,3,1-8-3
1454,T_15 T_37 T_23 T_17 T_38,0.566,78.99,0.883,1,1-8-1
1455,T_08 T_38 T_24 T_15,-1.761,90.91,2.376,1,0-8-0
1456,T_08 T_33 T_38 T_15 T_26,0.753,21.82,2.092,3,1-8-3
1457,T_01 T_13 T_18 T_15 T_38,0.381,52.44,2.22,2,1-8-4
1458,T_13 T_37 T_38 T_15 T_11,1.29,84.25,2.072,5,1-8-1
1459,T_35 T_05 T_38 T_22 T_15,0.673,11.11,0.501,3,0-8-4
1460,T_01 T_27 T_08 T_38 T_15,-0.138,79.47,0.31,2,1-8-1
1461,T_37 T_05 T_38 T_34 T_15,-1.224,18.3,7.691,5,0-8-4
1462,T_13 T_38 T_12 T_15,-0.209,80.81,0.093,4,0-8-4
1463,T_15 T_17 T_00 T_38,-0.851,61.2,1.261,3,0-8-4
1464,T_28 T_38 T_37 T_30 T_33,-0.581,19.32,1.107,3,0-8-1
1465,T_06 T_37 T_38 T_30 T_17,0.589,47.34,0.893,2,1-8-1
1466,T_38 T_22 T_01 T_30 T_25,1.67,68.19,3.046,1,0-8-3
1467,T_07 T_14 T_30 T_38,0.395,63.39,2.736,1,0-8-3
1468,T_09 T_30 T_38 T_17 T_05,-1.196,42.72,4.712,2,0-8-3
1469,T_23 T_30 T_38 T_01,0.445,89.94,1.007,3,0-8-1
1470,T_31 T_30 T_38 T_37,1.197,51.93,1.661,3,0-8-0
1471,T_22 T_30 T_26 T_38,-0.61,50.59,4.457,3,0-8-3
1472,T_38 T_18 T_30 T_33,-0.134,6.23,10.182,4,0-8-4
1473,T_38 T_30 T_13 T_11 T_05,0.015,92.21,6.967,1,0-8-1
1474,T_35 T_13 T_38 T_30,-0.785,17.71,2.531,4,1-8-4
1475,T_01 T_38 T_30 T_27,0.648,52.83,0.309,3,0-8-1
1476,T_32 T_30 T_38 T_17,-0.121,80.36,0.047,1,1-8-1
1477,T_12 T_33 T_17 T_30 T_38,0.42,21.55,3.488,3,1-8-4
1478,T_33 T_00 T_30 T_38,-0.887,52.74,3.677,3,1-8-4
1479,T_28 T_16 T_38 T_22,-0.437,24.07,2.744,2,0-8-1
1480,T_38 T_21 T_28 T_14 T_06,0.722,75.97,0.657,1,1-8-2
1481,T_38 T_25 T_28 T_33 T_05,-0.373,56.43,2.042,3,0-8-4
1482,T_05 T_38 T_28 T_20,1.727,85.6,0.76,5,1-9-1
1483,T_13 T_09 T_38 T_37 T_28,-0.4,89.46,1.198,5,0-8-4
1484,T_23 T_28 T_33 T_38,0.225,64.87,0.964,3,0-8-2
1485,T_37 T_38 T_28 T_24,0.933,72.54,4.898,2,1-8-1
1486,T_38 T_26 T_17 T_13 T_28,-1.418,54.92,0.534,3,0-8-4
1487,T_33 T_14 T_38 T_11 T_28,-1.761,38.44,1.724,5,0-8-2
1488,T_33 T_29 T_38 T_28,-1.526,64.81,0.896,1,1-8-0
1489,T_38 T_35 T_08 T_28,1.263,90.83,2.176,2,1-8-0
1490,T_01 T_27 T_28 T_38 T_21,-0.552,41.67,1.663,3,0-8-2
1491,T_34 T_28 T_22 T_38 T_14,2.558,31.44,5.153,5,1-8-0
1492,T_13 T_12 T_05 T_38 T_28,-0.564,38.84,0.214,1,1-8-0
1493,T_00 T_05 T_28 T_38,0.185,43.54,0.499,5,1-8-0
1494,T_33 T_16 T_06 T_22 T_38,1.542,7.36,2.908,2,1-8-1
1495,T_38 T_08 T_20 T_16,2.006,49.84,0.92,4,1-9-0
1496,T_38 T_22 T_07 T_33 T_16,2.062,49.43,0.363,3,0-8-3
1497,T_08 T_38 T_16 T_09 T_33,1.208,58.84,1.4,1,0-8-3
1498,T_01 T_23 T_38 T_16 T_33,1.024,36.28,2.112,2,0-8-1
1499,T_24 T_16 T_38 T_08,0.593,61.31,0.092,2,1-8-0
1500,T_16 T_14 T_38 T_26,0.778,87.82,0.69,4,0-8-3
1501,T_05 T_38 T_16 T_29,-0.551,95.55,3.315,4,1-8-4
1502,T_16 T_37 T_27 T_38,-0.818,58.36,1.469,3,0-8-1
1503,T_37 T_32 T_38 T_16 T_14,-0.003,4.26,0.072,3,1-8-1
1504,T_33 T_16 T_38 T_12,-0.17,96.92,0.662,2,1-8-4
1505,T_00 T_38 T_16 T_08,-0.453,70.59,2.039,3,1-8-4
1506,T_13 T_25 T_38 T_06,0.696,33.6,0.445,3,1-8-4
1507,T_22 T_38 T_20 T_06 T_21,0.955,14.72,3.513,4,0-9-1
1508,T_06 T_21 T_17 T_07 T_38,0.088,14.34,2.258,2,1-8-4
1509,T_38 T_06 T_22 T_05 T_09,1.478,16.77,1.275,5,1-8-4
1510,T_37 T_38 T_23 T_06,-1.142,4.56,4.945,5,1-8-2
1511,T_38 T_05 T_06 T_31,-0.194,90.22,0.995,1,1-8-1
1512,T_26 T_38 T_06 T_21,-0.717,54.08,0.536,4,1-8-4
1513,T_14 T_18 T_38 T_06,-1.867,70.0,2.166,1,1-8-0
1514,T_11 T_05 T_06 T_38 T_14,-0.083,82.81,1.703,2,1-8-2
1515,T_06 T_38 T_33 T_35,-0.122,79.15,0.817,5,0-8-0
1516,T_14 T_06 T_27 T_05 T_38,1.513,88.26,0.842,5,1-8-2
1517,T_38 T_06 T_14 T_34,0.631,96.73,1.016,5,0-8-0
1518,T_38 T_13 T_32 T_21 T_06,-1.024,43.91,0.688,1,0-8-2
1519,T_12 T_38 T_06 T_21,1.854,95.03,2.477,3,0-8-0
1520,T_37 T_13 T_38 T_25 T_20,1.221,72.33,2.107,1,1-9-3
1521,T_25 T_07 T_01 T_38,0.582,7.07,1.162,5,0-8-1
1522,T_23 T_25 T_38 T_22,-0.226,68.18,1.015,4,0-8-4
1523,T_38 T_25 T_21 T_33 T_24,-0.959,68.67,0.908,4,1-8-3
1524,T_25 T_38 T_37 T_33 T_31,-0.372,90.59,0.667,1,0-8-3
1525,T_25 T_38 T_26 T_17,1.089,37.29,0.179,1,0-8-1
1526,T_25 T_13 T_38 T_11,1.885,58.49,0.625,2,0-8-4
1527,T_08 T_25 T_38 T_21 T_29,1.543,1.22,0.775,1,1-8-2
1528,T_33 T_27 T_38 T_25 T_05,-0.489,33.21,1.587,1,0-8-4
1529,T_38 T_13 T_17 T_25 T_12,-1.12,6.22,2.973,5,1-8-2
1530,T_08 T_37 T_25 T_00 T_38,0.141,52.19,1.007,3,1-8-2
1531,T_38 T_20 T_08 T_09,-1.768,81.74,5.792,5,1-9-3
1532,T_23 T_37 T_38 T_20 T_01,0.323,20.64,3.513,3,1-9-1
1533,T_33 T_24 T_38 T_20,-0.148,52.74,8.373,5,0-9-0
1534,T_14 T_38 T_20 T_31,-0.466,20.4,4.178,5,1-9-0
1535,T_22 T_38 T_18 T_20 T_14,-1.595,12.07,1.918,2,1-9-4
1536,T_01 T_11 T_20 T_38,0.514,51.1,1.825,3,1-9-1
1537,T_13 T_38 T_29 T_21 T_20,-0.533,7.91,0.277,5,0-9-4
1538,T_05 T_38 T_35 T_20,-1.17,58.74,2.563,5,0-9-4
1539,T_34 T_38 T_20 T_01,-2.872,3.13,1.834,3,0-9-4
1540,T_12 T_38 T_20 T_13,-0.028,10.67,1.414,2,0-9-4
1541,T_38 T_20 T_00 T_21,1.772,55.0,2.364,3,0-9-4
1542,T_07 T_38 T_05 T_23,1.661,59.14,1.174,2,0-8-4
1543,T_07 T_24 T_38 T_08,-0.457,2.9,1.484,2,1-8-3
1544,T_01 T_17 T_07 T_38 T_31,-0.602,57.34,1.016,4,0-8-3
1545,T_14 T_26 T_38 T_33 T_07,0.469,83.85,2.527,2,0-8-1
1546,T_18 T_07 T_05 T_38 T_14,-0.998,72.23,4.185,4,0-8-2
1547,T_38 T_07 T_17 T_29 T_01,0.302,13.12,3.676,1,1-8-2
1548,T_07 T_22 T_05 T_38 T_35,0.766,59.25,3.084,2,1-8-2
1549,T_07 T_27 T_01 T_38 T_21,1.227,67.23,0.028,3,0-8-4
1550,T_07 T_12 T_05 T_38 T_21,-0.1,3.72,4.858,4,1-8-2
1551,T_00 T_38 T_07 T_22 T_21,-0.204,85.53,0.643,1,1-8-2
1552,T_09 T_05 T_24 T_17 T_38,-0.878,90.63,4.378,1,1-8-3
1553,T_09 T_01 T_14 T_31 T_38,-0.827,85.05,0.439,2,0-8-3
1554,T_21 T_38 T_14 T_18 T_09,-0.226,82.46,1.158,3,0-8-2
1555,T_38 T_09 T_17 T_29,0.367,74.5,2.768,2,1-8-2
1556,T_09 T_35 T_38 T_14 T_22,0.914,63.34,2.045,5,1-8-2
1557,T_21 T_38 T_08 T_09 T_27,-0.803,67.86,1.075,1,0-8-4
1558,T_08 T_09 T_38 T_34,1.493,80.64,2.27,5,1-8-2
1559,T_32 T_38 T_09 T_05 T_37,-0.271,66.25,1.592,5,1-8-4
1560,T_12 T_01 T_38 T_08 T_09,-0.021,32.77,0.645,4,1-8-2
1561,T_23 T_05 T_38 T_24,-0.747,37.6,2.079,5,1-8-1
1562,T_33 T_26 T_23 T_38,-2.424,89.71,0.457,1,0-8-4
1563,T_33 T_18 T_38 T_23,0.884,1.71,2.368,1,0-8-0
1564,T_08 T_23 T_38 T_11 T_21,0.737,69.88,0.006,3,0-8-2
1565,T_29 T_08 T_38 T_23 T_21,-0.281,95.48,1.592,2,1-8-0
1566,T_35 T_23 T_38 T_17,0.067,70.62,1.025,3,1-8-0
1567,T_38 T_27 T_08 T_23 T_05,0.516,99.39,0.722,3,0-8-2
1568,T_23 T_01 T_22 T_38 T_34,-1.563,68.75,1.45,2,1-8-0
1569,T_23 T_38 T_14 T_12,-0.529,3.44,2.073,1,1-8-0
1570,T_38 T_22 T_00 T_23 T_13,0.794,82.7,6.723,4,1-8-0
1571,T_05 T_24 T_22 T_38 T_31,-1.254,28.46,3.58,5,1-8-0
1572,T_26 T_37 T_08 T_38 T_24,0.294,44.61,2.526,4,1-8-3
1573,T_38 T_18 T_01 T_24,-1.357,31.21,1.304,5,1-8-4
1574,T_24 T_11 T_08 T_38 T_05,0.466,26.86,0.996,2,1-8-1
1575,T_24 T_01 T_29 T_38,-0.036,43.14,0.066,2,0-8-4
1576,T_35 T_38 T_24 T_01 T_05,-1.615,37.88,0.89,3,0-8-4
1577,T_38 T_22 T_27 T_24 T_08,1.165,63.33,3.773,2,1-8-1
1578,T_17 T_34 T_22 T_24 T_38,-0.735,81.32,0.969,5,0-8-4
1579,T_33 T_24 T_00 T_38,-0.81,29.71,1.238,4,0-8-4
1580,T_31 T_08 T_21 T_38 T_26,0.201,21.37,0.634,4,0-8-3
1581,T_18 T_17 T_37 T_31 T_38,1.149,66.69,0.641,4,0-8-4
1582,T_01 T_31 T_38 T_11,-1.016,67.03,0.128,4,0-8-1
1583,T_31 T_37 T_35 T_38 T_14,0.062,90.11,1.903,3,1-8-4
1584,T_31 T_27 T_33 T_38,0.429,1.59,1.189,4,0-8-1
1585,T_31 T_32 T_05 T_38,0.693,85.3,1.863,5,1-8-1
1586,T_13 T_12 T_38 T_31 T_37,0.176,52.1,1.583,3,1-8-4
1587,T_31 T_00 T_38 T_13,-0.367,62.13,3.207,3,1-8-4
1588,T_38 T_18 T_26 T_17 T_33,-0.828,9.14,2.781,3,0-8-2
1589,T_38 T_14 T_11 T_26,0.086,43.26,2.952,2,0-8-4
1590,T_38 T_05 T_13 T_26 T_29,-1.072,22.73,1.383,3,1-8-2
1591,T_26 T_17 T_35 T_38 T_21,-2.921,25.42,0.874,5,1-8-2
1592,T_26 T_21 T_37 T_27 T_38,0.437,50.41,5.419,4,0-8-4
1593,T_14 T_34 T_33 T_38 T_26,0.904,81.25,0.112,2,1-8-2
1594,T_32 T_38 T_26 T_01 T_14,-2.363,74.38,0.331,4,1-8-4
1595,T_38 T_12 T_01 T_26,-1.01,59.1,1.088,1,1-8-2
1596,T_22 T_00 T_08 T_26 T_38,0.619,53.94,1.904,2,1-8-2
1597,T_11 T_08 T_38 T_22 T_18,2.057,42.73,0.016,5,0-8-0
1598,T_21 T_29 T_38 T_01 T_18,0.021,97.27,2.541,2,1-8-3
1599,T_18 T_35 T_22 T_38 T_37,-0.728,56.02,1.636,3,1-8-3
1600,T_18 T_08 T_17 T_27 T_38,-0.183,25.4,1.326,2,0-8-0
1601,T_34 T_38 T_17 T_18,1.375,23.01,1.102,3,1-8-3
1602,T_12 T_18 T_33 T_38,-0.646,61.14,1.466,4,1-8-3
1603,T_00 T_38 T_18 T_22,-0.799,52.28,0.353,2,1-8-3
1604,T_38 T_37 T_35 T_14 T_11,-0.483,0.77,0.23,2,1-8-0
1605,T_27 T_11 T_33 T_38,-0.953,83.01,0.684,5,0-8-2
1606,T_11 T_38 T_08 T_32,0.123,70.41,2.472,1,1-8-2
1607,T_11 T_05 T_38 T_21 T_12,1.625,66.18,1.775,2,1-8-0
1608,T_11 T_13 T_00 T_38,0.323,6.88,1.308,4,1-8-0
1609,T_29 T_35 T_38 T_05,-0.252,36.21,1.695,3,0-8-3
1610,T_29 T_27 T_38 T_01,-0.292,93.54,1.639,4,1-8-0
1611,T_34 T_38 T_29 T_08,-1.563,86.26,0.734,5,0-8-3
1612,T_08 T_14 T_38 T_29 T_32,0.883,28.55,0.205,2,0-8-0
1613,T_38 T_22 T_14 T_12 T_29,-0.078,15.71,4.542,1,0-8-3
1614,T_29 T_37 T_00 T_38,-0.18,44.91,1.832,1,0-8-3
1615,T_27 T_37 T_38 T_35 T_21,3.193,35.58,2.393,2,1-8-0
1616,T_35 T_38 T_34 T_13 T_22,0.299,68.22,1.247,1,0-8-3
1617,T_17 T_35 T_38 T_32 T_13,-0.752,96.64,2.825,4,0-8-0
1618,T_35 T_38 T_33 T_12,-0.426,36.3,1.757,3,0-8-3
1619,T_14 T_38 T_27 T_34,1.148,6.22,0.111,2,1-8-0
1620,T_27 T_17 T_32 T_38 T_13,0.113,89.76,4.416,3,1-8-2
1621,T_38 T_37 T_27 T_12,-1.438,3.79,0.729,1,1-8-0
1622,T_32 T_05 T_38 T_08 T_34,0.919,95.28,0.297,5,0-8-0
1623,T_12 T_14 T_22 T_38 T_34,-0.668,66.46,0.184,3,0-8-3
1624,T_00 T_38 T_34 T_21 T_22,1.873,94.17,2.549,5,0-8-3
1625,T_38 T_32 T_08 T_37 T_12,1.08,19.97,2.435,4,0-8-0
1626,T_32 T_21 T_17 T_38 T_00,-0.447,4.07,2.409,5,0-8-0
1627,T_00 T_17 T_38 T_05 T_12,1.281,48.82,4.948,3,0-8-3
1628,T_02 T_10 T_05 T_15,0.068,45.06,0.858,3,1-5-1
1629,T_22 T_30 T_10 T_02 T_08,0.853,33.15,1.647,2,0-3-1
1630,T_08 T_28 T_17 T_02 T_10,0.485,95.77,1.933,5,0-3-2
1631,T_16 T_05 T_10 T_02,-0.846,82.26,7.773,4,0-5-1
1632,T_02 T_10 T_22 T_06,-0.644,66.16,0.749,2,1-3-2
1633,T_20 T_17 T_10 T_02,1.03,16.29,6.262,2,1-9-1
1634,T_23 T_22 T_02 T_10 T_37,-0.335,73.43,0.322,4,0-3-2
1635,T_01 T_02 T_08 T_10 T_24,-0.404,72.7,2.888,2,1-7-1
1636,T_02 T_08 T_37 T_10 T_26,-0.955,42.51,2.004,4,0-4-4
1637,T_11 T_10 T_02 T_37,0.424,92.48,3.395,1,0-7-2
1638,T_29 T_05 T_02 T_14 T_10,2.063,16.7,0.058,2,1-8-0
1639,T_10 T_17 T_02 T_35,-1.068,26.73,0.163,3,1-3-0
1640,T_02 T_27 T_10 T_14 T_13,0.024,6.32,0.144,1,0-5-2
1641,T_02 T_33 T_34 T_10,1.412,79.55,1.798,2,1-3-0
1642,T_37 T_10 T_17 T_02 T_32,-0.08,62.18,1.847,4,1-3-2
1643,T_01 T_02 T_12 T_10,0.452,31.49,4.731,1,1-7-0
1644,T_00 T_02 T_22 T_10,-1.062,16.38,1.261,1,1-3-0
1645,T_33 T_10 T_15 T_30,0.428,4.01,0.141,3,0-5-2
1646,T_17 T_10 T_16 T_15,-0.187,16.67,0.47,2,0-5-2
1647,T_10 T_22 T_25 T_14 T_15,0.986,45.33,0.016,2,0-6-0
1648,T_20 T_22 T_10 T_15,1.187,24.72,2.999,4,1-9-2
1649,T_01 T_07 T_10 T_15,2.59,25.9,3.381,1,0-5-0
1650,T_01 T_10 T_09 T_21 T_15,0.58,87.56,12.371,3,0-5-0
1651,T_10 T_23 T_22 T_15,0.326,51.51,1.063,4,0-5-3
1652,T_10 T_33 T_14 T_15 T_31,0.194,72.93,0.039,4,0-5-2
1653,T_15 T_17 T_26 T_10,-0.353,3.57,0.535,3,0-5-0
1654,T_37 T_10 T_15 T_18,0.338,36.52,1.772,2,0-8-1
1655,T_29 T_15 T_08 T_10,-0.295,47.92,6.537,3,1-8-1
1656,T_17 T_08 T_15 T_10 T_35,0.168,18.64,0.219,2,1-5-1
1657,T_15 T_10 T_34 T_13,1.318,12.02,0.259,5,1-5-1
1658,T_32 T_21 T_13 T_10 T_15,-1.007,87.03,2.42,1,1-5-3
1659,T_15 T_33 T_10 T_12,1.14,93.94,2.2,3,1-7-1
1660,T_15 T_10 T_37 T_13 T_00,1.317,7.88,0.577,4,1-5-1
1661,T_30 T_17 T_10 T_28,-0.118,34.9,3.355,2,1-3-3
1662,T_10 T_30 T_21 T_14 T_16,-2.122,95.83,0.276,1,1-5-2
1663,T_30 T_21 T_05 T_10 T_25,-0.608,8.32,5.2,1,1-6-0
1664,T_10 T_30 T_05 T_37 T_20,1.297,64.36,0.449,3,0-9-2
1665,T_10 T_30 T_17 T_09,-0.023,97.22,0.17,4,1-4-0
1666,T_30 T_01 T_10 T_33 T_24,-0.999,97.82,0.83,3,0-7-2
1667,T_10 T_26 T_30 T_22,-0.505,47.12,0.416,4,1-4-0
1668,T_30 T_33 T_37 T_29 T_10,0.841,16.27,1.497,5,0-8-1
1669,T_17 T_30 T_33 T_35 T_10,0.547,20.21,2.322,3,0-3-1
1670,T_34 T_10 T_21 T_01 T_30,-0.239,88.96,1.35,2,0-3-1
1671,T_13 T_30 T_10 T_22 T_32,-0.367,91.17,2.161,3,0-3-3
1672,T_30 T_10 T_12 T_33 T_08,-0.392,60.79,0.908,3,0-7-1
1673,T_01 T_30 T_00 T_17 T_10,-0.922,76.62,0.057,5,0-3-1
1674,T_10 T_16 T_28 T_14,1.615,73.99,7.304,5,1-5-3
1675,T_06 T_37 T_10 T_28,-0.322,66.18,3.423,3,0-3-4
1676,T_25 T_33 T_10 T_28 T_05,1.217,82.73,0.153,4,1-6-1
1677,T_20 T_10 T_13 T_28,1.521,68.54,1.193,5,0-9-3
1678,T_13 T_17 T_10 T_28 T_07,0.998,53.4,2.016,5,1-3-1
1679,T_01 T_28 T_05 T_10 T_23,-0.432,23.7,0.423,4,1-3-4
1680,T_01 T_24 T_10 T_28,0.404,74.39,1.725,1,0-7-3
1681,T_31 T_10 T_22 T_28,-0.024,47.34,1.526,5,1-5-3
1682,T_26 T_28 T_14 T_22 T_10,-0.904,29.48,0.467,5,1-4-1
1683,T_28 T_22 T_01 T_18 T_10,0.324,80.19,0.304,4,1-8-2
1684,T_10 T_11 T_08 T_05 T_28,-1.179,69.67,2.846,4,1-7-4
1685,T_29 T_08 T_10 T_28,1.188,93.73,0.779,3,0-8-2
1686,T_10 T_35 T_17 T_28,-0.465,16.54,0.56,3,0-3-2
1687,T_10 T_28 T_27 T_08,0.201,64.92,2.678,1,1-5-4
1688,T_34 T_10 T_28 T_08,0.283,24.42,2.664,1,0-3-2
1689,T_10 T_32 T_28 T_14,-0.259,90.36,0.647,1,0-3-4
1690,T_28 T_22 T_37 T_10 T_00,0.587,9.95,4.12,2,0-3-2
1691,T_06 T_08 T_16 T_05 T_10,-0.475,65.62,2.331,4,0-5-3
1692,T_21 T_17 T_16 T_25 T_10,0.871,79.11,0.849,5,1-6-0
1693,T_10 T_16 T_20 T_01,-1.346,35.49,1.115,4,0-9-2
1694,T_16 T_17 T_10 T_07,0.126,95.41,2.594,4,1-5-0
